epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.82994,0.8092,2.43339,1.16012,0.00519,1,0.82833,0.63832,0.30844,2.4376,0.84893,0.00016,0.00016,0.00016
2,3.41648,0.70785,2.12135,1.11134,0.00503,1,0.995,0.64673,0.46054,2.40145,0.8662,0.00030634,0.00030634,0.00030634
3,4.95095,0.70656,1.43857,1.10266,0.00488,1,0.995,0.74606,0.67417,2.31401,0.97983,0.00041704,0.00041704,0.00041704
4,6.48596,0.59581,1.28942,0.92581,0.91867,1,0.995,0.82081,0.7749,1.7468,1.11062,0.0004921,0.0004921,0.0004921
5,7.96599,0.56602,1.06682,0.91008,0.91867,1,0.995,0.82081,0.7749,1.7468,1.11062,0.00053152,0.00053152,0.00053152
6,9.52464,0.47763,1.00585,0.93125,1,0.89165,0.995,0.84506,0.75533,1.82361,1.11694,0.0005353,0.0005353,0.0005353
7,11.0225,0.48302,1.02293,0.91245,0.6203,1,0.82833,0.71627,0.64531,1.91602,1.00599,0.00050344,0.00050344,0.00050344
8,12.4929,0.55655,0.89272,0.9565,0.6203,1,0.82833,0.71627,0.64531,1.91602,1.00599,0.00043594,0.00043594,0.00043594
9,14.0143,0.54754,0.83106,0.9725,0.6224,1,0.82833,0.68722,0.82516,1.86239,1.1142,0.0003328,0.0003328,0.0003328
10,15.492,0.49276,0.88167,0.92014,0.6224,1,0.82833,0.68722,0.82516,1.86239,1.1142,0.00019402,0.00019402,0.00019402
