epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7663,1.06974,2.6572,1.55754,0.00333,1,0.13267,0.08868,1.24878,3.39202,2.63186,2e-05,2e-05,2e-05
2,21.5837,1.01157,2.62474,1.4617,0.00333,1,0.13738,0.09256,1.17335,3.47763,2.54969,5.9406e-05,5.9406e-05,5.9406e-05
3,32.3761,0.89036,2.50969,1.39491,0.00333,1,0.24875,0.11019,1.20371,3.47583,2.49416,9.802e-05,9.802e-05,9.802e-05
4,42.0452,0.6643,2.17547,1.24875,0.00333,1,0.82833,0.34763,1.41791,3.79459,2.84009,0.000135842,0.000135842,0.000135842
5,53.0987,0.84667,1.81925,1.34515,0.00333,1,0.995,0.31146,1.6334,3.70284,3.28174,0.000172872,0.000172872,0.000172872
6,66.6132,0.8251,1.61524,1.30227,0.00333,1,0.63786,0.24098,1.67178,3.54505,3.38046,0.00020911,0.00020911,0.00020911
7,80.17,1.03524,1.81321,1.55549,0.00333,1,0.82833,0.24605,1.49774,3.5886,2.84636,0.000244556,0.000244556,0.000244556
8,95.0954,0.79544,1.39479,1.30401,0.00333,1,0.745,0.3036,1.59448,3.3767,2.95407,0.00027921,0.00027921,0.00027921
9,109.16,0.76693,1.31578,1.27309,0.00333,1,0.745,0.33263,1.70988,3.41843,3.12596,0.000313072,0.000313072,0.000313072
10,124.345,0.68513,1.28969,1.1791,0.00333,1,0.82833,0.45913,1.82805,3.4223,3.58931,0.000346142,0.000346142,0.000346142
11,134.552,0.68407,1.19605,1.15886,0.00333,1,0.995,0.49695,1.75589,3.46375,3.85395,0.00037842,0.00037842,0.00037842
12,145.403,0.69111,1.249,1.21338,0.00333,1,0.995,0.49667,1.72626,3.13319,4.20016,0.000409906,0.000409906,0.000409906
13,155.522,0.62667,1.22534,1.20244,0.00379,1,0.995,0.55284,1.23789,3.03388,3.39813,0.0004406,0.0004406,0.0004406
14,165.065,0.68346,1.23179,1.22503,0.93064,1,0.995,0.49667,1.52386,2.82013,3.53304,0.000470502,0.000470502,0.000470502
15,174.243,0.6877,1.27788,1.21247,0.52719,0.5,0.82833,0.49621,1.37478,3.04175,2.97997,0.000499612,0.000499612,0.000499612
16,184.477,0.60028,1.1305,1.12813,0.00333,1,0.995,0.45707,1.3059,3.22389,2.50066,0.00052793,0.00052793,0.00052793
17,193.904,0.73973,1.23252,1.2248,0.00333,1,0.82833,0.35903,1.21592,3.36173,2.17438,0.000555456,0.000555456,0.000555456
18,203.787,0.67296,1.12115,1.2515,0.00333,1,0.995,0.39283,0.90752,3.56753,1.75535,0.00058219,0.00058219,0.00058219
19,213.623,0.74936,1.24136,1.21789,0.00333,1,0.82833,0.34621,1.08666,3.51647,1.82034,0.000608132,0.000608132,0.000608132
20,222.689,0.63118,1.08326,1.14995,0.00333,1,0.58591,0.16918,1.78034,4.04112,2.54732,0.000633282,0.000633282,0.000633282
21,233.477,0.67235,1.15799,1.16047,0.00333,1,0.54045,0.11356,2.56645,4.72964,3.31181,0.00065764,0.00065764,0.00065764
22,244.194,0.67194,1.29127,1.2406,0.00333,1,0.5253,0.1051,3.18698,4.36496,4.2152,0.000681206,0.000681206,0.000681206
23,254.697,0.78141,1.15527,1.23664,0.00333,1,0.51038,0.15162,3.06592,4.56298,4.0422,0.00070398,0.00070398,0.00070398
24,265.873,0.75026,1.18357,1.1786,0.00333,1,0.51461,0.20312,1.77801,4.55722,2.77132,0.000725962,0.000725962,0.000725962
25,275.805,0.72895,1.16426,1.2263,0.93862,1,0.995,0.25877,2.28279,3.2782,3.6123,0.000747152,0.000747152,0.000747152
26,285.695,0.71698,1.09708,1.16041,0.92544,1,0.995,0.39029,2.12517,2.80702,4.06925,0.00076755,0.00076755,0.00076755
27,296.772,0.62374,1.02641,1.13016,0.92532,1,0.995,0.38609,2.02305,2.90031,3.67216,0.000787156,0.000787156,0.000787156
28,308.773,0.66044,0.99556,1.10764,0.92532,1,0.995,0.38609,2.02305,2.90031,3.67216,0.00080597,0.00080597,0.00080597
29,322.635,0.74316,1.05567,1.31504,0.16144,1,0.995,0.17566,2.31353,3.36408,3.91484,0.000823992,0.000823992,0.000823992
30,336.139,0.6271,1.07366,1.14333,0.36612,1,0.995,0.22991,1.8183,3.57251,3.17161,0.000841222,0.000841222,0.000841222
31,345.67,0.55712,0.94438,1.10675,0.36612,1,0.995,0.22991,1.8183,3.57251,3.17161,0.00085766,0.00085766,0.00085766
32,356.194,0.59242,0.9604,1.15668,0.96702,1,0.995,0.33751,1.38469,2.93765,2.69471,0.000873306,0.000873306,0.000873306
33,370.512,0.71339,1.12638,1.22895,0.7268,1,0.995,0.26692,1.57036,3.53014,2.6908,0.00088816,0.00088816,0.00088816
